,key_id,referee_id,family_name,given_name,female,country_name,confederation_id,confederation_name,confederation_code,referee_wikipedia_link
335,336,R-336,Partridge,Pat,0,England,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Pat_Partridge
336,337,R-337,Paulino Siles,Luis,0,Costa Rica,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Luis_Paulino_Siles
337,338,R-338,Pedersen,Christina,1,Norway,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Christina_Pedersen_(referee)
338,339,R-339,Pedersen,Rune,0,Norway,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Rune_Pedersen_(referee)
339,340,R-340,Peréz Núñez,Edison,0,Peru,CF-4,South American Football Confederation,CONMEBOL,not available
340,341,R-341,Pestarino,Luis,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,not available
341,342,R-342,Petignat,Nicole,1,Switzerland,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Nicole_Petignat
342,343,R-343,Petrović,Zoran,0,Yugoslavia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Zoran_Petrovi%C4%87_(referee)
343,344,R-344,Phillips,Hugh,0,Scotland,CF-6,Union of European Football Associations,UEFA,not available
344,345,R-345,Picon-Ackong,Edwin,0,Mauritius,CF-2,Confederation of African Football,CAF,https://en.wikipedia.org/wiki/Edwin_Picon-Ackong
345,346,R-346,Pitana,Néstor,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/N%C3%A9stor_Pitana
346,347,R-347,Poll,Graham,0,England,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Graham_Poll
347,348,R-348,Ponnet,Alexis,0,Belgium,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Alexis_Ponnet
348,349,R-349,Poulat,Éric,0,France,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/%C3%89ric_Poulat
349,350,R-350,Pozo,Pablo,0,Chile,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Pablo_Pozo
350,351,R-351,Prendergast,Peter,0,Jamaica,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Peter_Prendergast_(referee)
351,352,R-352,Proença,Pedro,0,Portugal,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Pedro_Proen%C3%A7a
352,353,R-353,Prokop,Adolf,0,East Germany,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Adolf_Prokop
353,354,R-354,Puhl,Sándor,0,Hungary,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/S%C3%A1ndor_Puhl
354,355,R-355,Pustovoitova,Anastasia,1,Russia,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Anastasia_Pustovoitova
355,356,R-356,Qin,Liang,1,China,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Qin_Liang
356,357,R-357,Quiniou,Joël,0,France,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Jo%C3%ABl_Quiniou
357,358,R-358,Rădulescu,Andrei,0,Romania,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Andrei_R%C4%83dulescu_(footballer)
358,359,R-359,Rahman Al-Zeid,Abdul,0,Saudi Arabia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Abdul_Rahman_Al-Zeid
359,360,R-360,Rainea,Nicolae,0,Romania,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Nicolae_Rainea
360,361,R-361,Ramdhan,Ramesh,0,Trinidad and Tobago,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Ramesh_Ramdhan
361,362,R-362,Ramos,César Arturo,0,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/C%C3%A9sar_Arturo_Ramos
362,363,R-363,Ramos,Felipe,0,Mexico,CF-3,"Confederation of North, Central American and Caribbean Association Football",CONCACAF,https://en.wikipedia.org/wiki/Felipe_Ramos
363,364,R-364,Rapallini,Fernando,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Fernando_Rapallini
364,365,R-365,Reader,George,0,England,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/George_Reader
365,366,R-366,Regis Brozzi,Juan,0,Argentina,CF-4,South American Football Confederation,CONMEBOL,not available
366,367,R-367,Reibelt,Casey,1,Australia,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Casey_Reibelt
367,368,R-368,Reyes,Silvia,1,Peru,CF-4,South American Football Confederation,CONMEBOL,not available
368,369,R-369,Rezende de Freitas,Márcio,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/M%C3%A1rcio_Rezende_de_Freitas
369,370,R-370,Ri,Hyang-ok,1,North Korea,CF-1,Asian Football Confederation,AFC,https://en.wikipedia.org/wiki/Ri_Hyang-ok
370,371,R-371,Ribeiro Saldanha,Antonio,0,Portugal,CF-6,Union of European Football Associations,UEFA,not available
371,372,R-372,Ricci,Sandro,0,Brazil,CF-4,South American Football Confederation,CONMEBOL,https://en.wikipedia.org/wiki/Sandro_Ricci
372,373,R-373,Rion,Francis,0,Belgium,CF-6,Union of European Football Associations,UEFA,not available
373,374,R-374,Rizzoli,Nicola,0,Italy,CF-6,Union of European Football Associations,UEFA,https://en.wikipedia.org/wiki/Nicola_Rizzoli
374,375,R-375,Robles,Carlos,0,Chile,CF-4,South American Football Confederation,CONMEBOL,not available
